dates,ndvi,x,y
2016-12-22,0.37625514168072877,1536,1024
2017-01-01,0.3200484238121318,1536,1024
2017-01-11,0.38699657467456633,1536,1024
2017-02-10,0.533277684766356,1536,1024
2017-02-20,0.4329362838686184,1536,1024
2017-03-02,0.4916307841291514,1536,1024
2017-03-12,0.5813757239996382,1536,1024
2017-04-01,0.5458692407144178,1536,1024
2017-04-11,0.5361739069005409,1536,1024
2017-05-01,0.21252617073901192,1536,1024
2017-05-11,0.502146133511886,1536,1024
2017-05-21,0.43675729636921673,1536,1024
2017-05-31,0.23276805538683934,1536,1024
2017-06-20,0.47475456335188004,1536,1024
2017-07-10,0.34955218228519025,1536,1024
2017-07-20,,1536,1024
2017-07-30,0.3596563470099342,1536,1024
2017-08-09,0.33890738172546786,1536,1024
2017-08-19,0.32478270451210384,1536,1024
2017-09-08,0.27915232190347805,1536,1024
2017-09-18,0.24869097333647971,1536,1024
2017-09-28,0.1108176179022512,1536,1024
2017-10-08,0.1691688125455882,1536,1024
2017-10-28,0.32442719939433157,1536,1024
2017-11-07,0.3676472420312717,1536,1024
2017-11-17,0.24630143851943515,1536,1024
2017-11-27,0.18134446083773306,1536,1024
2017-12-07,0.36783734139104757,1536,1024
2017-12-17,0.11028966244800885,1536,1024
2017-12-27,0.40686632352455976,1536,1024
2018-01-06,0.32853346449678017,1536,1024
2018-01-26,0.3336638301822669,1536,1024
2018-02-15,0.3526522235483882,1536,1024
2018-03-17,0.5533164610264982,1536,1024
2018-04-16,0.4278198420912018,1536,1024
2018-04-26,0.5928147583648815,1536,1024
2018-05-06,0.5099482903376288,1536,1024
2018-05-26,0.5063069305097662,1536,1024
2018-06-05,0.502224288885388,1536,1024
2018-06-15,0.4039799839044141,1536,1024
2018-06-25,0.0669488990697678,1536,1024
2018-07-05,0.4386947450779335,1536,1024
2018-07-15,0.4373684744216805,1536,1024
2018-07-25,0.3713308999836826,1536,1024
2018-08-04,0.3017138054148594,1536,1024
2018-08-14,0.3147005516893836,1536,1024
2018-08-24,0.2895972004689011,1536,1024
2018-09-03,0.286077252226397,1536,1024
2018-09-13,0.18297755137567157,1536,1024
2018-10-03,0.07267307421556188,1536,1024
2018-10-23,0.1562821866337475,1536,1024
2018-11-02,0.1817446989026314,1536,1024
2018-11-12,0.18395105221349678,1536,1024
2018-11-22,0.16071831794039493,1536,1024
2018-12-02,0.14632238654873034,1536,1024
2019-01-01,0.39281114645690235,1536,1024
2019-01-21,0.4016776973050607,1536,1024
2019-02-20,0.3808102149406801,1536,1024
2019-03-02,0.2099732461978098,1536,1024
2019-03-12,0.3354698597834484,1536,1024
2019-04-11,0.22760940461293033,1536,1024
2019-04-21,0.2600880632275232,1536,1024
2019-05-01,0.3907865437594704,1536,1024
2019-05-11,0.35011829839962094,1536,1024
2019-05-21,0.1854770815800005,1536,1024
2019-06-10,0.1941939019938122,1536,1024
2019-06-20,0.24109537924532384,1536,1024
2019-06-30,0.22639538599222617,1536,1024
2019-07-20,0.21310220228672622,1536,1024
2019-07-30,0.19564272205183608,1536,1024
2019-08-09,0.20944403032310321,1536,1024
2016-12-22,0.4194330706509859,1536,1536
2017-01-01,0.35433399905898916,1536,1536
2017-01-11,0.43508538867246693,1536,1536
2017-02-10,0.4959217460516604,1536,1536
2017-02-20,0.46485028244571824,1536,1536
2017-03-02,0.09305928407479515,1536,1536
2017-03-12,0.47807145560602227,1536,1536
2017-04-01,0.46139405173589115,1536,1536
2017-04-11,0.44640469037033076,1536,1536
2017-05-01,0.14504499446330596,1536,1536
2017-05-11,0.4446359160999803,1536,1536
2017-05-21,0.40937687688546565,1536,1536
2017-05-31,0.11346286523958607,1536,1536
2017-06-20,0.45769528325625397,1536,1536
2017-07-10,0.10422275221902959,1536,1536
2017-07-20,,1536,1536
2017-07-30,0.4113260172179014,1536,1536
2017-08-09,0.34848414141149053,1536,1536
2017-08-19,0.26227385737685616,1536,1536
2017-09-08,0.13260754797172827,1536,1536
2017-09-18,0.16517216793660858,1536,1536
2017-09-28,0.07013312488855983,1536,1536
2017-10-08,0.08337847047326202,1536,1536
2017-10-28,0.1939759690936116,1536,1536
2017-11-07,0.20627199595241844,1536,1536
2017-11-17,0.1216422434248282,1536,1536
2017-11-27,0.17413388747259897,1536,1536
2017-12-07,0.25064613532100544,1536,1536
2017-12-17,0.03026575683116981,1536,1536
2017-12-27,0.16481256998606394,1536,1536
2018-01-06,0.17529128325355078,1536,1536
2018-01-26,0.13827768314637137,1536,1536
2018-02-15,0.1986990600656453,1536,1536
2018-03-17,0.23764618182856492,1536,1536
2018-04-16,0.42524738180883503,1536,1536
2018-04-26,0.4336221370241499,1536,1536
2018-05-06,0.22651041755683882,1536,1536
2018-05-26,0.21627966568749868,1536,1536
2018-06-05,0.19778266959387336,1536,1536
2018-06-15,0.18147133993717143,1536,1536
2018-06-25,0.0968149648975034,1536,1536
2018-07-05,0.2639047187150466,1536,1536
2018-07-15,0.3241998823526985,1536,1536
2018-07-25,0.38174348698248445,1536,1536
2018-08-04,0.33038429931347857,1536,1536
2018-08-14,0.4537442911391786,1536,1536
2018-08-24,0.4667705414314957,1536,1536
2018-09-03,0.4894782540196417,1536,1536
2018-09-13,0.4307303770481316,1536,1536
2018-10-03,0.058599748082998414,1536,1536
2018-10-23,0.17364142036639804,1536,1536
2018-11-02,0.1574710556880314,1536,1536
2018-11-12,0.13690099784850454,1536,1536
2018-11-22,0.08639432802982844,1536,1536
2018-12-02,0.1031847122745579,1536,1536
2019-01-01,0.15382264936526496,1536,1536
2019-01-21,0.6010638839468838,1536,1536
2019-02-20,0.3894505169457804,1536,1536
2019-03-02,0.23065635235973894,1536,1536
2019-03-12,0.24563554710297272,1536,1536
2019-04-11,0.3781815431960103,1536,1536
2019-04-21,0.2225458175423765,1536,1536
2019-05-01,0.3987690999882009,1536,1536
2019-05-11,0.3706528602787268,1536,1536
2019-05-21,0.12608186878129388,1536,1536
2019-06-10,0.12575992442975645,1536,1536
2019-06-20,0.14749385579944713,1536,1536
2019-06-30,0.1410573431472195,1536,1536
2019-07-20,0.16757566062899262,1536,1536
2019-07-30,0.18932479678500624,1536,1536
2019-08-09,0.2674988636138382,1536,1536
2016-12-22,0.2507554221973155,2048,1024
2017-01-01,0.2514234426252437,2048,1024
2017-01-11,0.31097808865046667,2048,1024
2017-02-10,0.5276100369811304,2048,1024
2017-02-20,0.37746568916746726,2048,1024
2017-03-02,0.27603273894934266,2048,1024
2017-03-12,0.36007628678243725,2048,1024
2017-04-01,0.33525438147890185,2048,1024
2017-04-11,0.3040966290561988,2048,1024
2017-05-01,0.1340265957970757,2048,1024
2017-05-11,0.27332379984396826,2048,1024
2017-05-21,0.2663006757290985,2048,1024
2017-05-31,0.1946605392033925,2048,1024
2017-06-20,0.3112410615273403,2048,1024
2017-07-10,0.14421588305617297,2048,1024
2017-07-20,,2048,1024
2017-07-30,0.22203561413873146,2048,1024
2017-08-09,0.2341695448467115,2048,1024
2017-08-19,0.2431335771824761,2048,1024
2017-09-08,0.2803455264623581,2048,1024
2017-09-18,0.2808264008566858,2048,1024
2017-09-28,0.2657821755993914,2048,1024
2017-10-08,0.34605353503489694,2048,1024
2017-10-28,0.4268255461951115,2048,1024
2017-11-07,0.2951098971879179,2048,1024
2017-11-17,0.3420020343968377,2048,1024
2017-11-27,0.12643055888755433,2048,1024
2017-12-07,0.2924112792386694,2048,1024
2017-12-17,0.016328745020670124,2048,1024
2017-12-27,0.3932082175468929,2048,1024
2018-01-06,0.2752624776473159,2048,1024
2018-01-26,0.022524547577553917,2048,1024
2018-02-15,0.3077356193727952,2048,1024
2018-03-17,0.43379866288102586,2048,1024
2018-04-16,0.5100862434162734,2048,1024
2018-04-26,0.5722468841229701,2048,1024
2018-05-06,0.487195295653645,2048,1024
2018-05-26,0.4694052280497589,2048,1024
